fold_id,model_type,class,f1
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,lda,Rest,0.940639
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,lda,Fist,0.924485
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,lda,Pinch,0.717073
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,lda,Tripod,0.723708
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,lda,Rest,0.924658
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,lda,Fist,0.982533
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,lda,Pinch,0.913242
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,lda,Tripod,0.889328
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,lda,Rest,0.0
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,lda,Fist,0.056604
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,lda,Pinch,0.476807
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,lda,Tripod,0.103448
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,lda,Rest,0.918736
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,lda,Fist,0.580645
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,lda,Pinch,0.656371
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,lda,Tripod,0.563327
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,lda,Rest,0.868613
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,lda,Fist,0.87451
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,lda,Pinch,0.842912
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,lda,Tripod,0.71564
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,lda,Rest,0.81242
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,lda,Fist,0.062975
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,lda,Pinch,0.442461
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,lda,Tripod,0.276423
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,lda,Rest,0.879808
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,lda,Fist,0.972043
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,lda,Pinch,0.881579
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,lda,Tripod,0.805293
intra_loso_session__VP_01__2026-03-03_14:31:55_3rep,lda,Rest,0.879386
intra_loso_session__VP_01__2026-03-03_14:31:55_3rep,lda,Fist,0.917391
intra_loso_session__VP_01__2026-03-03_14:31:55_3rep,lda,Pinch,0.879167
intra_loso_session__VP_01__2026-03-03_14:31:55_3rep,lda,Tripod,0.850467
intra_loso_session__VP_01__2026-03-10_13:44:35_3rep,lda,Rest,0.902468
intra_loso_session__VP_01__2026-03-10_13:44:35_3rep,lda,Fist,0.641618
intra_loso_session__VP_01__2026-03-10_13:44:35_3rep,lda,Pinch,0.834008
intra_loso_session__VP_01__2026-03-10_13:44:35_3rep,lda,Tripod,0.678024
intra_loso_session__VP_01__2026-03-16_11:04:06_3rep,lda,Rest,0.004444
intra_loso_session__VP_01__2026-03-16_11:04:06_3rep,lda,Fist,0.773684
intra_loso_session__VP_01__2026-03-16_11:04:06_3rep,lda,Pinch,0.560819
intra_loso_session__VP_01__2026-03-16_11:04:06_3rep,lda,Tripod,0.199702
intra_loso_session__VP_01__2026-03-16_11:11:49_3rep,lda,Rest,0.939189
intra_loso_session__VP_01__2026-03-16_11:11:49_3rep,lda,Fist,0.947846
intra_loso_session__VP_01__2026-03-16_11:11:49_3rep,lda,Pinch,0.87965
intra_loso_session__VP_01__2026-03-16_11:11:49_3rep,lda,Tripod,0.861224
intra_loso_session__VP_01__2026-03-20_11:10:16_3rep,lda,Rest,0.708402
intra_loso_session__VP_01__2026-03-20_11:10:16_3rep,lda,Fist,0.15748
intra_loso_session__VP_01__2026-03-20_11:10:16_3rep,lda,Pinch,0.0
intra_loso_session__VP_01__2026-03-20_11:10:16_3rep,lda,Tripod,0.492255
intra_loso_session__VP_01__2026-03-20_12:54:45_10rep,lda,Rest,0.979283
intra_loso_session__VP_01__2026-03-20_12:54:45_10rep,lda,Fist,0.990582
intra_loso_session__VP_01__2026-03-20_12:54:45_10rep,lda,Pinch,0.953336
intra_loso_session__VP_01__2026-03-20_12:54:45_10rep,lda,Tripod,0.948161
intra_loso_session__VP_01__2026-03-20_14:17:17_3rep,lda,Rest,0.924868
intra_loso_session__VP_01__2026-03-20_14:17:17_3rep,lda,Fist,0.885645
intra_loso_session__VP_01__2026-03-20_14:17:17_3rep,lda,Pinch,0.934498
intra_loso_session__VP_01__2026-03-20_14:17:17_3rep,lda,Tripod,0.892241
intra_loso_session__VP_01__2026-03-20_14:18:36_3rep,lda,Rest,0.91939
intra_loso_session__VP_01__2026-03-20_14:18:36_3rep,lda,Fist,0.778068
intra_loso_session__VP_01__2026-03-20_14:18:36_3rep,lda,Pinch,0.942675
intra_loso_session__VP_01__2026-03-20_14:18:36_3rep,lda,Tripod,0.86166
intra_loso_session__VP_01__2026-03-20_14:20:18_3rep,lda,Rest,0.944381
intra_loso_session__VP_01__2026-03-20_14:20:18_3rep,lda,Fist,0.952381
intra_loso_session__VP_01__2026-03-20_14:20:18_3rep,lda,Pinch,0.965066
intra_loso_session__VP_01__2026-03-20_14:20:18_3rep,lda,Tripod,0.884462
intra_loso_session__VP_01__2026-03-24_08-57-34_3rep,lda,Rest,0.950226
