fold_id,model_type,n_train_windows,n_val_windows,n_test_windows,accuracy,macro_f1,val_accuracy,val_macro_f1,train_seconds,inference_ms,fold_seed
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,lda,52524,0,1142,0.8441330998248686,0.8264763077200897,,,0.3554089069366455,0.001528843480526,189412331
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,lda,52527,0,1139,0.926251097453907,0.9274400894279512,,,0.4037530422210693,0.0063071029033443,500512043
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,lda,52527,0,1139,0.228270412642669,0.1592147383595861,,,0.3503918647766113,0.0088106026452711,1737219578
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,lda,52529,0,1137,0.7255936675461742,0.679769685361235,,,0.3833432197570801,0.0019604004362537,408503180
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,lda,52528,0,1138,0.835676625659051,0.8254186576072191,,,0.3699700832366943,0.0030106107044722,429898975
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,lda,49377,0,4289,0.5402191653065983,0.3985698760017786,,,0.3852982521057129,0.0008505022756479,1288493233
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,lda,52525,0,1141,0.8816827344434707,0.8846806640249698,,,0.3966829776763916,0.0018011990813807,650755789
intra_loso_session__VP_01__2026-03-03_14:31:55_3rep,lda,52526,0,1140,0.881578947368421,0.8816028064115999,,,0.3514409065246582,0.0017638792071426,1867150973
intra_loso_session__VP_01__2026-03-10_13:44:35_3rep,lda,52527,0,1139,0.7901668129938543,0.7640295323593445,,,0.3724520206451416,0.0018612976342151,1414323532
intra_loso_session__VP_01__2026-03-16_11:04:06_3rep,lda,52525,0,1141,0.3803680981595092,0.3846625136513821,,,0.3692500591278076,0.0020550803904153,275391753
intra_loso_session__VP_01__2026-03-16_11:11:49_3rep,lda,52528,0,1138,0.9121265377855888,0.9069773436411448,,,0.3818898200988769,0.0018664948341088,1732208300
intra_loso_session__VP_01__2026-03-20_11:10:16_3rep,lda,52527,0,1139,0.520632133450395,0.339534256278742,,,0.3887550830841064,0.0049904629889028,694142085
intra_loso_session__VP_01__2026-03-20_12:54:45_10rep,lda,47380,0,6286,0.9707286032453072,0.9678404949251104,,,0.2998228073120117,0.0007781032692123,295399802
intra_loso_session__VP_01__2026-03-20_14:17:17_3rep,lda,52527,0,1139,0.913081650570676,0.9093129224071008,,,0.3880660533905029,0.003296832854126,9066959
intra_loso_session__VP_01__2026-03-20_14:18:36_3rep,lda,52527,0,1139,0.887620719929763,0.8754482754045133,,,0.392007827758789,0.002080877168436,661526206
intra_loso_session__VP_01__2026-03-20_14:20:18_3rep,lda,52525,0,1141,0.936897458369851,0.936572497687198,,,0.397662878036499,0.0016722733466694,948640969
intra_loso_session__VP_01__2026-03-24_08-57-34_3rep,lda,52528,0,1138,0.9235500878734624,0.9186824427953196,,,0.3359308242797851,0.0018130706358039,1573234420
intra_loso_session__VP_01__2026-03-24_09-35-44_3rep,lda,52526,0,1140,0.7342105263157894,0.6963874158039699,,,0.3789100646972656,0.0016147630256518,1654308003
intra_loso_session__VP_01__2026-03-25_10-21-07_5rep,lda,49382,0,4284,0.6676003734827264,0.5612905001622804,,,0.3545362949371338,0.0005578683092703,146413436
intra_loso_session__VP_01__2026-03-25_13-36-55_3rep,lda,52527,0,1139,0.8735733099209834,0.8510303031379975,,,0.3386881351470947,0.0013231289187892,220630452
intra_loso_session__VP_01__2026-03-25_13-55-45_3rep,lda,52526,0,1140,0.9447368421052632,0.9408445892441212,,,0.3444581031799316,0.0017948317946049,2127310633
intra_loso_session__VP_01__2026-03-26_12-38-48_3rep,lda,52526,0,1140,0.5684210526315789,0.3947002648078852,,,0.3861711025238037,0.0010536428083453,1517294484
intra_loso_session__VP_01__2026-03-30_09-32-13_3rep,lda,52526,0,1140,0.7342105263157894,0.6776270403550584,,,0.3599841594696045,0.0019079760501259,1192193346
intra_loso_session__VP_01__2026-03-30_09-41-33_3rep,lda,52526,0,1140,0.7745614035087719,0.7553429951521268,,,0.3940658569335937,0.0015177224811754,1638391934
intra_loso_session__VP_01__2026-04-27_09-29-56_3rep,lda,52527,0,1139,0.8770851624231782,0.8696538927064672,,,0.3880698680877685,0.001364156172085,1503131241
intra_loso_session__VP_01__2026-04-30_09-04-04_3rep,lda,52964,0,702,0.9387464387464388,0.7164642590443602,,,0.3522591590881347,0.0017307422779224,1942562575
intra_loso_session__VP_01__2026-04-30_09-24-27_3rep,lda,52961,0,705,0.8964539007092198,0.7108227183490846,,,0.334407091140747,0.002788651919534,2139282816
intra_loso_session__VP_01__2026-04-30_09-51-33_3rep,lda,52968,0,698,0.836676217765043,0.5784954450819835,,,0.3973197937011719,0.0030328346186859,1202570900
intra_loso_session__VP_01__2026-04-30_09-58-03_3rep,lda,52968,0,698,0.8724928366762178,0.6571764405702163,,,0.3441460132598877,0.0032579318158606,943511064
intra_loso_session__VP_01__2026-04-30_10-25-22_3rep,lda,52970,0,696,0.8505747126436781,0.6624766410027734,,,0.333327054977417,0.0039527471038116,480235492
intra_loso_session__VP_01__2026-04-30_11-12-19_3rep,lda,52968,0,698,0.7636103151862464,0.3561028108381869,,,0.3487172126770019,0.0029986772291298,1122573556
intra_loso_session__VP_01__2026-04-30_11-29-09_3rep,lda,52735,0,931,0.8506981740064447,0.819616033944175,,,0.3763101100921631,0.0011667401142714,253320340
intra_loso_session__VP_01__2026-05-01_11-38-54_3rep,lda,52561,0,1105,0.2479638009049773,0.1603337540984908,,,0.3653340339660644,0.0020352963408733,189382112
intra_loso_session__VP_01__2026-05-04_08-55-07_3rep,lda,52963,0,703,0.9758179231863442,0.7360576359902432,,,0.3619608879089355,0.0027809848486953,1901635351
intra_loso_session__VP_01__2026-05-04_09-00-24_3rep,lda,52959,0,707,0.99009900990099,0.9900918241772112,,,0.3775029182434082,0.0058670529550339,388695375
intra_loso_session__VP_01__2026-05-04_09-30-37_3rep,lda,51681,0,1985,0.9224181360201512,0.9069797374476708,,,0.3675127029418945,0.00129370605315,1815580470
intra_loso_session__VP_01__2026-05-04_09-43-34_3rep,lda,51616,0,2050,0.8878048780487805,0.8684688123944077,,,0.3466501235961914,0.001411670591773,1287966883
intra_loso_session__VP_01__2026-05-04_11-53-40_3rep,lda,51605,0,2061,0.2464822901504124,0.338328971829498,,,0.3332459926605224,0.0005869654878026,1910898276
intra_loso_session__VP_02__2026-02-04_15:06:58_5rep,lda,12257,0,3636,0.5156765676567657,0.3984823757381676,,,0.1726150512695312,0.0014069712463647,2058414634
intra_loso_session__VP_02__2026-02-24_12:46:57_3rep,lda,14755,0,1138,0.289103690685413,0.2386400267660547,,,0.1460630893707275,0.0013066930385381,688644171
intra_loso_session__VP_02__2026-02-24_12:57:14_5rep,lda,11612,0,4281,0.7535622518103247,0.6431506802055111,,,0.1477770805358886,0.0008147778117859,2108832675
