subject_id,session_id,path,n_frames,duration_s,rms_max,rms_p50,rms_p95,profile_threshold,optimal_threshold,asrec_accuracy,asrec_precision,asrec_recall,asrec_f1,asrec_pos_rate,asrec_pos_rate_truth,profile_accuracy,profile_precision,profile_recall,profile_f1,opt_accuracy,opt_precision,opt_recall,opt_f1,auc,asrec_tp,asrec_fp,asrec_fn,asrec_tn,profile_tp,profile_fp,profile_fn,profile_tn,opt_tp,opt_fp,opt_fn,opt_tn,suspect_threshold,excluded,exclude_reason,notes,group,group_label
02_test_emg,emg_2026-01-29_13-01-24,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-01-29_13-01-24.csv,158382,79.183648,0.005223,0.000274,0.001380,0.000340,0.000345,0.725537,0.000000,0.000000,0.000000,0.000000,0.274463,0.757927,0.580645,0.424845,0.490674,0.760200,0.587795,0.422774,0.491811,0.655216,0,0,43470,114912,18468,13338,25002,101574,18378,12888,25092,102024,False,False,,profile history @ 2026-01-29 12:59:58 [0.34 mV → 0.00034 V],?,unknown
02_test_emg,emg_2026-01-29_13-15-11,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-01-29_13-15-11.csv,127350,63.674309,0.006532,0.000191,0.001388,0.000460,0.000300,0.693286,0.000000,0.000000,0.000000,0.000000,0.306714,0.800141,0.706783,0.595392,0.646323,0.803675,0.660633,0.740092,0.698109,0.781338,0,0,39060,88290,23256,9648,15804,78642,28908,14850,10152,73440,False,False,,profile history @ 2026-01-29 13:15:06 [0.46 mV → 0.00046 V],?,unknown
02_test_emg,emg_2026-01-29_13-17-32,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-01-29_13-17-32.csv,178866,89.346483,0.007149,0.000186,0.000698,0.000200,0.000135,0.751837,0.000000,0.000000,0.000000,0.000000,0.248163,0.532555,0.253451,0.454177,0.325345,0.416725,0.269518,0.789538,0.401858,0.566588,0,0,44388,134478,20160,59382,24228,75096,35046,94986,9342,39492,False,False,,profile history @ 2026-01-29 13:17:26 [0.2 mV → 0.0002 V],?,unknown
02_test_emg,emg_2026-01-29_13-25-06,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-01-29_13-25-06.csv,131292,65.641316,0.006740,0.000230,0.001427,0.000340,0.000465,0.757472,0.000000,0.000000,0.000000,0.000000,0.242528,0.739512,0.473211,0.654042,0.549122,0.788182,0.558031,0.608819,0.582320,0.733729,0,0,31842,99450,20826,23184,11016,76266,19386,15354,12456,84096,False,False,,profile history @ 2026-01-29 13:19:29 [0.34 mV → 0.00034 V],?,unknown
02_test_emg,emg_2026-01-29_13-36-23,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-01-29_13-36-23.csv,162990,81.498896,0.008479,0.000310,0.002353,0.000680,0.000311,0.359470,0.359470,1.000000,0.528838,1.000000,0.359470,0.694423,0.633625,0.355453,0.455422,0.630922,0.490301,0.675576,0.568217,0.691184,58590,104400,0,0,20826,12042,37764,92358,39582,41148,19008,63252,False,False,,profile history @ 2026-01-29 13:34:18 [0.68 mV → 0.00068 V],?,unknown
02_test_emg,emg_2026-01-29_13-57-51,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-01-29_13-57-51.csv,205290,102.645224,0.016512,0.000295,0.005869,0.000360,0.000092,0.597808,0.000000,0.000000,0.000000,0.000000,0.402192,0.591495,0.491408,0.448877,0.469181,0.397808,0.398972,0.981905,0.567397,0.550752,0,0,82566,122724,37062,38358,45504,84366,81072,122130,1494,594,False,False,,profile history @ 2026-01-29 13:57:45 [0.36 mV → 0.00036 V],?,unknown
02_test_emg,emg_2026-01-29_14-19-53,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-01-29_14-19-53.csv,128034,64.011872,0.004243,0.000076,0.000519,0.000100,0.000096,0.681991,0.000000,0.000000,0.000000,0.000000,0.318009,0.759876,0.601540,0.725464,0.657715,0.758752,0.597639,0.738727,0.660735,0.759261,0,0,40716,87318,29538,19566,11178,67752,30078,20250,10638,67068,False,False,,profile history @ 2026-01-29 14:18:05 [0.1 mV → 0.0001 V],?,unknown
02_test_emg,emg_2026-01-29_14-29-55,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-01-29_14-29-55.csv,157500,78.749437,0.011988,0.000350,0.003562,0.000460,0.000178,0.671657,0.000000,0.000000,0.000000,0.003657,0.324686,0.667086,0.486175,0.445618,0.465014,0.428800,0.350520,0.890180,0.502983,0.584629,0,576,51138,105786,22788,24084,28350,82278,45522,84348,5616,22014,False,False,,profile history @ 2026-01-29 14:29:49 [0.46 mV → 0.00046 V],?,unknown
02_test_emg,emg_2026-01-29_14-34-31,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-01-29_14-34-31.csv,132282,66.130931,0.008016,0.000209,0.002474,0.000460,0.000423,0.797115,0.000000,0.000000,0.000000,0.000000,0.202885,0.736699,0.403813,0.625084,0.490655,0.729895,0.398438,0.649899,0.494010,0.652523,0,0,26838,105444,16776,24768,10062,80676,17442,26334,9396,79110,False,False,,profile history @ 2026-01-29 14:29:49 [0.46 mV → 0.00046 V],?,unknown
02_test_emg,emg_2026-01-29_14-37-34,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/02_test_emg/RecordedData/emg/emg_2026-01-29_14-37-34.csv,128160,64.072992,0.006130,0.000196,0.001547,0.000460,0.000221,0.702669,0.000000,0.000000,0.000000,0.000000,0.297331,0.717697,0.530589,0.438356,0.480083,0.654073,0.445391,0.666509,0.533964,0.688768,0,0,38106,90054,16704,14778,21402,75276,25398,31626,12708,58428,False,False,,profile history @ 2026-01-29 14:29:49 [0.46 mV → 0.00046 V],?,unknown
