group,model,n_subjects,n_folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
healthy,catboost,4,64,0.8300,0.1711,0.7800,0.1993
healthy,random_forest,4,64,0.8302,0.1692,0.7753,0.1987
healthy,mstnet,4,64,0.8244,0.1597,0.7667,0.1956
healthy,cnn,4,64,0.8161,0.1794,0.7586,0.2039
healthy,attention_net,4,64,0.8093,0.1827,0.7560,0.2111
healthy,svm,4,64,0.8098,0.1799,0.7554,0.2170
healthy,mlp,4,64,0.7951,0.2028,0.7401,0.2169
healthy,lda,4,64,0.7795,0.1862,0.7213,0.2107
impaired,random_forest,3,10,0.5212,0.2665,0.4051,0.2311
impaired,catboost,3,10,0.5219,0.2506,0.3983,0.2222
impaired,cnn,3,10,0.6000,0.1703,0.3949,0.1970
impaired,mstnet,3,10,0.5721,0.1707,0.3784,0.1903
impaired,attention_net,3,10,0.5500,0.1700,0.3773,0.1957
impaired,svm,3,10,0.5310,0.2377,0.3695,0.2018
impaired,mlp,3,10,0.4816,0.1987,0.3515,0.1655
impaired,lda,3,10,0.4577,0.1621,0.3225,0.1781
